exercises,train_mse,test_mse,train_accuracy,test_accuracy
legraise,0.3419724702835083,0.24933183193206787,0.8601551055908203,0.9537540674209595
lunge,0.37330353260040283,0.18013842403888702,0.8379999995231628,0.9639999866485596
plank,0.3255099952220917,0.26366692781448364,0.844219446182251,0.8492166996002197
pushup,0.36087578535079956,0.35703012347221375,0.8565000295639038,0.8675000071525574
squat,0.2052738517522812,0.12430447340011597,0.9210526347160339,0.9671052694320679
